,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,arch_id,n,d,gbs,lr,train_loss,val_loss,cluster,time_last_mod
42,42.0,42.0,42.0,attn,150M,1.0B,64,0.008,3.5170156955718994,3.410408421566612,mpi,2026-07-01 10:24:15
43,43.0,43.0,43.0,attn,150M,7.5B,64,0.008,3.2314085960388184,3.2044992948833264,mpi,2026-07-01 11:11:15
44,44.0,44.0,44.0,attn,150M,3.0B,64,0.008,3.3228890895843506,3.2789005480314555,mpi,2026-07-01 10:38:32
45,45.0,45.0,45.0,attn,150M,15.0B,64,0.008,3.114608764648437,3.163650914242393,mpi,2026-06-29 06:53:06
46,46.0,46.0,46.0,attn,150M,0.5B,64,0.008,3.661918640136719,3.532461065995066,mpi,2026-07-01 10:19:24
47,47.0,47.0,47.0,attn,150M,1.0B,32,0.004,3.31363844871521,3.410998290484069,mpi,2026-06-14 12:44:04
48,48.0,48.0,48.0,attn,150M,3.0B,32,0.004,3.325716733932495,3.300185619416784,mpi,2026-06-26 01:44:28
49,49.0,49.0,49.0,attn,150M,0.5B,32,0.004,3.592810869216919,3.503135785118478,mpi,2026-06-17 10:13:07
50,50.0,50.0,50.0,attn,150M,1.0B,32,0.002,3.3086254596710205,3.402269470496256,mpi,2026-06-26 22:56:17
51,51.0,51.0,51.0,attn,150M,3.0B,32,0.002,3.2934679985046387,3.2681588313618644,mpi,2026-06-25 22:53:37
52,52.0,52.0,52.0,attn,150M,0.5B,32,0.002,3.616004943847656,3.521627769313875,mpi,2026-06-26 22:46:54
53,53.0,53.0,53.0,attn,150M,1.0B,32,0.001,3.293233871459961,3.395531193154757,mpi,2026-06-26 22:59:18
54,54.0,54.0,54.0,attn,150M,3.0B,32,0.001,3.2761449813842773,3.254274067331533,mpi,2026-06-25 22:56:07
55,55.0,55.0,55.0,attn,150M,0.5B,32,0.001,3.6163740158081055,3.526827937266866,mpi,2026-06-26 22:43:03
56,56.0,56.0,56.0,attn,150M,3.0B,32,0.08,4.162827491760254,4.151895938154127,mpi,2026-06-03 03:35:38
57,57.0,57.0,57.0,attn,150M,1.0B,32,0.0005,3.310882329940796,3.4121862442767035,mpi,2026-06-26 22:52:42
58,58.0,58.0,58.0,attn,150M,3.0B,32,0.0005,3.284724235534668,3.25754047847185,mpi,2026-06-26 01:44:56
59,59.0,59.0,59.0,attn,150M,0.5B,32,0.0005,3.656817674636841,3.564021030801241,mpi,2026-06-26 22:43:07
60,60.0,60.0,60.0,attn,150M,1.0B,32,0.00025,3.3598742485046387,3.464444718595411,mpi,2026-06-26 22:54:29
61,61.0,61.0,61.0,attn,150M,3.0B,32,0.00025,3.3028769493103027,3.277840495500408,mpi,2026-06-25 23:25:55
62,62.0,62.0,62.0,attn,150M,0.5B,32,0.00025,3.757838726043701,3.658814928961582,mpi,2026-06-26 22:43:20
63,63.0,63.0,63.0,attn,150M,3.0B,32,0.01,3.464498996734619,3.4351859733706616,mpi,2026-06-03 00:09:11
64,64.0,64.0,64.0,attn,150M,3.0B,32,0.02,3.61217999458313,3.5864255866066355,mpi,2026-06-03 00:10:05
65,65.0,65.0,65.0,attn,150M,3.0B,32,0.005,3.379331350326538,3.357555914706871,mpi,2026-06-03 00:08:38
66,66.0,66.0,66.0,attn,150M,3.0B,32,0.0025,3.3323657512664795,3.3120991769384167,mpi,2026-06-03 00:08:15
67,67.0,67.0,67.0,attn,150M,3.0B,32,0.04,3.800334453582764,3.779874661711396,mpi,2026-06-03 03:45:12
68,68.0,68.0,68.0,attn,150M,1.0B,32,0.008,3.377474308013916,3.4742584048724567,mpi,2026-06-26 22:51:36
69,69.0,69.0,69.0,attn,150M,3.0B,32,0.008,3.381859540939331,3.361024616585403,mpi,2026-06-26 02:22:01
70,70.0,70.0,70.0,attn,150M,0.5B,32,0.008,3.673276662826538,3.5718239854593747,mpi,2026-06-26 22:43:29
71,71.0,71.0,71.0,attn,50M,1.0B,16,0.004,3.592981338500977,3.5491481538678777,mpi,2026-06-25 06:35:02
72,72.0,72.0,72.0,attn,50M,0.5B,16,0.004,3.737335681915283,3.642576860990681,mpi,2026-06-25 13:02:15
73,73.0,73.0,73.0,attn,50M,1.0B,16,0.002,3.548497438430786,3.507141197704878,mpi,2026-06-25 06:34:58
74,74.0,74.0,74.0,attn,50M,0.5B,16,0.002,3.700151681900024,3.606493615322426,mpi,2026-06-25 13:02:13
75,75.0,75.0,75.0,attn,50M,1.0B,16,0.001,3.534546136856079,3.490557550993122,mpi,2026-06-25 06:35:14
76,76.0,76.0,76.0,attn,50M,0.5B,16,0.001,3.686361074447632,3.597247875713911,mpi,2026-06-25 13:08:55
77,77.0,77.0,77.0,attn,50M,1.0B,16,0.08,4.407507419586182,4.355276411869487,mpi,2026-06-01 15:57:48
78,78.0,78.0,78.0,attn,50M,0.5B,16,0.08,4.346593856811523,4.258326661782187,mpi,2026-06-03 14:47:43
79,79.0,79.0,79.0,attn,50M,1.0B,16,0.0005,3.5316860675811768,3.493171850579684,mpi,2026-06-25 06:35:02
80,80.0,80.0,80.0,attn,50M,0.5B,16,0.0005,3.7033112049102783,3.613069398285913,mpi,2026-06-25 13:08:39
81,81.0,81.0,81.0,attn,50M,1.0B,16,0.00025,3.574698209762573,3.5257344613309765,mpi,2026-06-25 06:35:04
82,82.0,82.0,82.0,attn,50M,0.5B,16,0.00025,3.763662576675415,3.675093750093804,mpi,2026-06-25 13:08:37
83,83.0,83.0,83.0,attn,50M,1.0B,16,0.01,3.734411001205444,3.6844250295982985,mpi,2026-06-01 15:04:03
84,84.0,84.0,84.0,attn,50M,0.5B,16,0.01,3.8002989292144775,3.710961745215244,mpi,2026-06-03 14:37:14
85,85.0,85.0,85.0,attn,50M,1.0B,16,0.02,3.881791591644287,3.836603475007855,mpi,2026-06-01 15:03:40
86,86.0,86.0,86.0,attn,50M,0.5B,16,0.02,3.9271392822265625,3.8378425519974506,mpi,2026-06-03 14:37:07
87,87.0,87.0,87.0,attn,50M,1.0B,16,0.005,3.637498378753662,3.595701983717621,mpi,2026-06-01 15:57:18
88,88.0,88.0,88.0,attn,50M,0.5B,16,0.005,3.745861768722534,3.645604640147725,mpi,2026-06-03 14:47:46
89,89.0,89.0,89.0,attn,50M,1.0B,16,0.0025,3.584958553314209,3.540590992911917,mpi,2026-06-01 15:02:46
90,90.0,90.0,90.0,attn,50M,0.5B,16,0.0025,3.697793483734131,3.606330930209552,mpi,2026-06-03 14:47:45
91,91.0,91.0,91.0,attn,50M,1.0B,16,0.04,4.119707107543945,4.066031602171601,mpi,2026-06-01 15:03:40
92,92.0,92.0,92.0,attn,50M,0.5B,16,0.04,4.148050308227539,4.0564733927367165,mpi,2026-06-03 14:47:31
93,93.0,93.0,93.0,attn,50M,1.0B,16,0.008,3.6625592708587646,3.617761946506187,mpi,2026-06-25 06:34:38
94,94.0,94.0,94.0,attn,50M,0.5B,16,0.008,3.7898178100585938,3.70154272689194,mpi,2026-06-25 13:03:20
95,95.0,95.0,95.0,attn,50M,1.0B,32,0.004,3.48504900932312,3.498373467671244,mpi,2026-06-25 13:19:17
96,96.0,96.0,96.0,attn,50M,3.0B,32,0.004,3.459800243377685,3.385422803853688,mpi,2026-06-25 10:48:11
97,97.0,97.0,97.0,attn,50M,0.5B,32,0.004,3.637395143508911,3.6019482910633087,mpi,2026-06-25 13:08:40
98,98.0,98.0,98.0,attn,50M,1.0B,32,0.002,3.4696946144104004,3.4813493756871474,mpi,2026-06-25 13:19:29
99,99.0,99.0,99.0,attn,50M,3.0B,32,0.002,3.436856508255005,3.3628452671201607,mpi,2026-06-25 10:48:37
100,100.0,100.0,100.0,attn,50M,0.5B,32,0.002,3.624719619750977,3.5909453897099746,mpi,2026-06-25 13:08:40
101,101.0,101.0,101.0,attn,50M,1.0B,32,0.001,3.467017412185669,3.4792754916768325,mpi,2026-06-25 13:19:11
102,102.0,102.0,102.0,attn,50M,3.0B,32,0.001,3.4242498874664307,3.3526050354305066,mpi,2026-06-25 10:50:15
103,103.0,103.0,103.0,attn,50M,0.5B,32,0.001,3.638306140899658,3.60219419473096,mpi,2026-06-25 13:08:38
104,104.0,104.0,104.0,attn,50M,1.0B,32,0.08,3.9796817302703857,3.996108591556549,mpi,2026-06-03 15:00:08
105,105.0,105.0,105.0,attn,50M,0.5B,32,0.08,4.048772811889648,4.02372838321485,mpi,2026-06-03 15:01:31
106,106.0,106.0,106.0,attn,50M,1.0B,32,0.0005,3.4859580993652344,3.501554570699993,mpi,2026-06-25 13:19:12
107,107.0,107.0,107.0,attn,50M,3.0B,32,0.0005,3.4305758476257324,3.358918591549522,mpi,2026-06-25 10:51:11
108,108.0,108.0,108.0,attn,50M,0.5B,32,0.0005,3.677189588546753,3.648413211107254,mpi,2026-06-25 13:08:41
109,109.0,109.0,109.0,attn,50M,1.0B,32,0.00025,3.5457687377929688,3.5617505155111613,mpi,2026-06-25 13:19:09
110,110.0,110.0,110.0,attn,50M,3.0B,32,0.00025,3.453808546066284,3.383756996769654,mpi,2026-06-25 10:48:04
111,111.0,111.0,111.0,attn,50M,0.5B,32,0.00025,3.785278797149658,3.7561641680566886,mpi,2026-06-25 13:01:50
112,112.0,112.0,112.0,attn,50M,1.0B,32,0.01,3.544933557510376,3.5529948865112506,mpi,2026-06-03 14:44:28
113,113.0,113.0,113.0,attn,50M,0.5B,32,0.01,3.638789653778076,3.6090267802539615,mpi,2026-06-03 14:59:54
114,114.0,114.0,114.0,attn,50M,1.0B,32,0.02,3.6295008659362793,3.646789778220026,mpi,2026-06-03 15:02:26
115,115.0,115.0,115.0,attn,50M,0.5B,32,0.02,3.6960065364837646,3.670104122475574,mpi,2026-06-03 15:01:23
116,116.0,116.0,116.0,attn,50M,1.0B,32,0.005,3.487311363220215,3.500434359437541,mpi,2026-06-03 14:45:15
